Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming,Translated
@ErnaWahyuningsihErna,Sirekap alibaba,sirekap alibaba,"['sirekap', 'alibaba']","['sirekap', 'alibaba']",sirekap alibaba,Sirekap Alibaba
@ogan8881,"Yang gawal dan melihat orang nya kebanyakanabok  hasil kalah berkoar-koar  di mana  ente di TPS ,apa dirimah  janda",yang gawal dan melihat orang ya kebanyakanabok hasil kalah berkoarkoar di mana ente di tps apa dirimah janda,"['yang', 'gawal', 'dan', 'melihat', 'orang', 'ya', 'kebanyakanabok', 'hasil', 'kalah', 'berkoarkoar', 'di', 'mana', 'ente', 'di', 'tps', 'apa', 'dirimah', 'janda']","['gawal', 'orang', 'kebanyakanabok', 'hasil', 'kalah', 'berkoarkoar', 'ente', 'tps', 'dirimah', 'janda']",gawal orang kebanyakanabok hasil kalah berkoarkoar ente tps dirimah janda,Gawal Most People The results of losing to boarding your TPS diimah widow
@ogan8881,Mana yang gawal sakit ya ohno,mana yang gawal sakit ya ohno,"['mana', 'yang', 'gawal', 'sakit', 'ya', 'ohno']","['gawal', 'sakit', 'ohno']",gawal sakit ohno,Gawal hurts Ohno
@AmirulMuslimin-s7g,"Maaf parah politisi jangan sekali kali mengotorkan raknyat Indonesia ,yg kalah jangan mengadodomba raknyat yg kalah tulah yg tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yg kalah karena kotor otaknya harus dicuci pakai oil",maaf parah politisi jangan sekali kali mengotorkan raknyat indonesia yang kalah jangan mengadodomba raknyat yang kalah tulah yang tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yang kalah karena kotor otaknya harus dicuci pakai oil,"['maaf', 'parah', 'politisi', 'jangan', 'sekali', 'kali', 'mengotorkan', 'raknyat', 'indonesia', 'yang', 'kalah', 'jangan', 'mengadodomba', 'raknyat', 'yang', 'kalah', 'tulah', 'yang', 'tidak', 'puas', 'karena', 'pakai', 'otak', 'kotor', 'baik', 'mahasiswa', 'mau', 'pun', 'guru', 'besar', 'elit', 'politik', 'yang', 'kalah', 'karena', 'kotor', 'otaknya', 'harus', 'dicuci', 'pakai', 'oil']","['maaf', 'parah', 'politisi', 'kali', 'mengotorkan', 'raknyat', 'indonesia', 'kalah', 'mengadodomba', 'raknyat', 'kalah', 'tulah', 'puas', 'pakai', 'otak', 'kotor', 'mahasiswa', 'guru', 'elit', 'politik', 'kalah', 'kotor', 'otaknya', 'dicuci', 'pakai', 'oil']",maaf parah politis kali kotor raknyat indonesia kalah mengadodomba raknyat kalah tulah puas pakai otak kotor mahasiswa guru elit politik kalah kotor otak cuci pakai oil,"Sorry, politically dirty times, Raknyat Indonesia loses to adodicate raknyat to lose satisfied with the dirty brain of political elite teachers less dirty brainwash"
@EDISONMANUKOY-ge8uc,Ko gak mau ngaku kalah😂😂😂😂😂😂😂😮😮😮,kok tidak mau mengaku kalah,"['kok', 'tidak', 'mau', 'mengaku', 'kalah']","['mengaku', 'kalah']",aku kalah,I lose
@Tahrim-h5l,masi bertobatlah masi bertobatlah mana ni suaranya 01 03 masi blom puas dgn kekalahanya salam ✌️😊,masih bertobatlah masih bertobatlah mana nih suaranya masih belum puas dengan kekalahanya salam,"['masih', 'bertobatlah', 'masih', 'bertobatlah', 'mana', 'nih', 'suaranya', 'masih', 'belum', 'puas', 'dengan', 'kekalahanya', 'salam']","['bertobatlah', 'bertobatlah', 'nih', 'suaranya', 'puas', 'kekalahanya', 'salam']",tobat tobat nih suara puas kekalahanya salam,repent repentance this is a satisfied voice
@BONAJAYAcom,"Kalau bicara bersih dari ke tiga  paslon tidak ada yg bersih boss.... Tim sukses nya masing&quot; paslon Selalu dengan politik uang,, akui saja memang 02 juara nya,<br>Nex jgn merendahkan mempermalukan lawan di muka umum,, ingat ingat rakyat sdh cerdas,,",kalau bicara bersih dari ke tiga paslon tidak ada yang bersih bos tim sukses ya masing paslon selalu dengan politik uang akui saja memang juara nyanex jangan merendahkan mempermalukan lawan di muka umum ingat ingat rakyat sudah cerdas,"['kalau', 'bicara', 'bersih', 'dari', 'ke', 'tiga', 'paslon', 'tidak', 'ada', 'yang', 'bersih', 'bos', 'tim', 'sukses', 'ya', 'masing', 'paslon', 'selalu', 'dengan', 'politik', 'uang', 'akui', 'saja', 'memang', 'juara', 'nyanex', 'jangan', 'merendahkan', 'mempermalukan', 'lawan', 'di', 'muka', 'umum', 'ingat', 'ingat', 'rakyat', 'sudah', 'cerdas']","['bicara', 'bersih', 'paslon', 'bersih', 'bos', 'tim', 'sukses', 'paslon', 'politik', 'uang', 'akui', 'juara', 'nyanex', 'merendahkan', 'mempermalukan', 'lawan', 'muka', 'rakyat', 'cerdas']",bicara bersih paslon bersih bos tim sukses paslon politik uang aku juara nyanex rendah malu lawan muka rakyat cerdas,Talk Clean Paslon Clean Boss Success Team Paslon Money Politics I Champion Low Nyanex Shame Opplighted People's Intelligent People
@arifismono7401,Ngecebeeeek  dihitung dengan partsi besar dicaptes  no 2 aja uda unggul maas 😂😂😂🎉,ngecebeeeek dihitung dengan partsi besar dicaptes no saja sudah unggul maas,"['ngecebeeeek', 'dihitung', 'dengan', 'partsi', 'besar', 'dicaptes', 'no', 'saja', 'sudah', 'unggul', 'maas']","['ngecebeeeek', 'dihitung', 'partsi', 'dicaptes', 'no', 'unggul', 'maas']",ngecebeeeek hitung partsi dicaptes no unggul maas,Ngecebeeeek Calculates Partsi Dipraptes No Unggul Maas
@mcjayawicara4422,"Alhamdulillah ,, Allah menyelamatkan NKRI dari org2 arogan picik oengecut yg tak ngaku kekalahannya. Dan berlindung dgn atas nama rakyat, an Demokrasi, .<br>Ya Allah imhamba beraerah diri dihadapan kekuasaanmu",alhamdulillah allah menyelamatkan nkri dari arogan picik oengecut yang tak mengaku kekalahannya dan berlindung dengan atas nama rakyat an demokrasi ya allah imhamba beraerah diri dihadapan kekuasaanmu,"['alhamdulillah', 'allah', 'menyelamatkan', 'nkri', 'dari', 'arogan', 'picik', 'oengecut', 'yang', 'tak', 'mengaku', 'kekalahannya', 'dan', 'berlindung', 'dengan', 'atas', 'nama', 'rakyat', 'an', 'demokrasi', 'ya', 'allah', 'imhamba', 'beraerah', 'diri', 'dihadapan', 'kekuasaanmu']","['alhamdulillah', 'allah', 'menyelamatkan', 'nkri', 'arogan', 'picik', 'oengecut', 'mengaku', 'kekalahannya', 'berlindung', 'nama', 'rakyat', 'an', 'demokrasi', 'allah', 'imhamba', 'beraerah', 'dihadapan', 'kekuasaanmu']",alhamdulillah allah selamat nkri arogan picik oengecut aku kalah lindung nama rakyat an demokrasi allah imhamba beraerah hadap kuasa,"Alhamdulillah, Allah, congratulations, the arrogant of the picked arrogant, I lose the name of the people of God's democracy"
@HpVivoY02-p1f,Siapa pun yg jd presiden tdk akan ngaruh bagi saya,siapa pun yang jadi presiden tidak akan ngaruh bagi saya,"['siapa', 'pun', 'yang', 'jadi', 'presiden', 'tidak', 'akan', 'ngaruh', 'bagi', 'saya']","['presiden', 'ngaruh']",presiden ngaruh,President Ngarf
@AbiCinta-v6e,❤❤❤❤ Prabowo gibran,prabowo gibran,"['prabowo', 'gibran']","['prabowo', 'gibran']",prabowo gibran,Prabowo Gibran
@IksanIsmail-lm5td,1 cocok yg jdi presiden.,cocok yang jadi presiden,"['cocok', 'yang', 'jadi', 'presiden']","['cocok', 'presiden']",cocok presiden,Suitable President
@PermataBerlian-z9w,Jgn cari alasan... kalau kalah akui saja. Buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo. Itu saja sudah terbukti masyarakat sudah tdk memilih ganjar.,jangan cari alasan kalau kalah akui saja buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo itu saja sudah terbukti masyarakat sudah tidak memilih ganjar,"['jangan', 'cari', 'alasan', 'kalau', 'kalah', 'akui', 'saja', 'buktinya', 'saat', 'kampaye', 'puan', 'bilang', 'presiden', 'ganjar', 'jawab', 'penonton', 'presiden', 'prabowo', 'itu', 'saja', 'sudah', 'terbukti', 'masyarakat', 'sudah', 'tidak', 'memilih', 'ganjar']","['cari', 'alasan', 'kalah', 'akui', 'buktinya', 'kampaye', 'puan', 'bilang', 'presiden', 'ganjar', 'penonton', 'presiden', 'prabowo', 'terbukti', 'masyarakat', 'memilih', 'ganjar']",cari alas kalah aku bukti kampaye puan bilang presiden ganjar tonton presiden prabowo bukti masyarakat pilih ganjar,Finding Alas Losing I Proof of Puan Kampaye said President Ganjar Watch President Prabowo Proof of the community Choose Ganjar
@PermataBerlian-z9w,Karena ganjar terlalu angkuh dan sombong. Masyarakat bisa menilai sendiri tdk ada hubungannya dgn jokowi,karena ganjar terlalu angkuh dan sombong masyarakat bisa menilai sendiri tidak ada hubungannya dengan jokowi,"['karena', 'ganjar', 'terlalu', 'angkuh', 'dan', 'sombong', 'masyarakat', 'bisa', 'menilai', 'sendiri', 'tidak', 'ada', 'hubungannya', 'dengan', 'jokowi']","['ganjar', 'angkuh', 'sombong', 'masyarakat', 'menilai', 'hubungannya', 'jokowi']",ganjar angkuh sombong masyarakat nilai hubung jokowi,Ganjar arrogant arrogant community value jokowi connecting
@kaila7347,jujur ajj kalian klu Anies yg menang ko bisa2 nya salah infut,jujur saja kalian kalau anies yang menang kok bisa2 ya salah infut,"['jujur', 'saja', 'kalian', 'kalau', 'anies', 'yang', 'menang', 'kok', 'bisa2', 'ya', 'salah', 'infut']","['jujur', 'anies', 'menang', 'bisa2', 'salah', 'infut']",jujur anies menang bisa2 salah infut,Honestly Anies wins can be wrong infuting
@Marthen-yh2su,SAYA TIDAK INGIN MEMILIH KARENA KEPALA DESA SEBAB SAYA MEMILIH PRESIDEN DENGAN HATI NURANI SEPERTI JIKA PIALA DUNIA TIM YG SAYA PILIH APAPUN YG TERJADI TETAP PILIH TIM YG SAYA ANDALKAN,saya tidak ingin memilih karena kepala desa sebab saya memilih presiden dengan hati nurani seperti jika piala dunia tim yang saya pilih apapun yang terjadi tetap pilih tim yang saya andalkan,"['saya', 'tidak', 'ingin', 'memilih', 'karena', 'kepala', 'desa', 'sebab', 'saya', 'memilih', 'presiden', 'dengan', 'hati', 'nurani', 'seperti', 'jika', 'piala', 'dunia', 'tim', 'yang', 'saya', 'pilih', 'apapun', 'yang', 'terjadi', 'tetap', 'pilih', 'tim', 'yang', 'saya', 'andalkan']","['memilih', 'kepala', 'desa', 'memilih', 'presiden', 'hati', 'nurani', 'piala', 'dunia', 'tim', 'pilih', 'apapun', 'pilih', 'tim', 'andalkan']",pilih kepala desa pilih presiden hati nurani piala dunia tim pilih apa pilih tim andal,"Select the Village Head, choose the President's conscience, the team, the team, choose what select the reliable team"
@FajrRi8ii-ou5zy,Curang,curang,['curang'],['curang'],curang,cheat
@gatotriyanto4205,HASIL CEPAT YG DI BAYAR WOWO AKAN DI ADILI....RAKUYAT SELURUH INDONESIA SEDANG BERSATU ...AMIN,hasil cepat yang di bayar wowo akan di adili rakuyat seluruh indonesia sedang bersatu amin,"['hasil', 'cepat', 'yang', 'di', 'bayar', 'wowo', 'akan', 'di', 'adili', 'rakuyat', 'seluruh', 'indonesia', 'sedang', 'bersatu', 'amin']","['hasil', 'cepat', 'bayar', 'wowo', 'adili', 'rakuyat', 'indonesia', 'bersatu', 'amin']",hasil cepat bayar wowo adil rakuyat indonesia satu amin,Quick results pay wowo fair rakuyat Indonesia one amen
@bagussuryadi8324,Kl membahas wahabi okkkk❤,kalau membahas wahabi okkkk,"['kalau', 'membahas', 'wahabi', 'okkkk']","['membahas', 'wahabi', 'okkkk']",bahas wahabi okkkk,Bahas Wahabi Okkkkkkkkk
@rusakajor3858,Coba dijumlah hasil %tase dari ketiga capres hasilnya jadi berapa %,coba dijumlah hasil tase dari ketiga capres hasilnya jadi berapa,"['coba', 'dijumlah', 'hasil', 'tase', 'dari', 'ketiga', 'capres', 'hasilnya', 'jadi', 'berapa']","['coba', 'dijumlah', 'hasil', 'tase', 'ketiga', 'capres', 'hasilnya']",coba jumlah hasil tase tiga capres hasil,Try the number of results of tase three presidential candidates
@YohanesUde,Akuilah keunggulan Prabowo Gibran,akuilah keunggulan prabowo gibran,"['akuilah', 'keunggulan', 'prabowo', 'gibran']","['akuilah', 'keunggulan', 'prabowo', 'gibran']",aku unggul prabowo gibran,I'm superior to Prabowo Gibran
@YohanesUde,"Prabowo Gibran siap lantai,jangan otak Atik, itu suara Rakyat",prabowo gibran siap lantaijangan otak atik itu suara rakyat,"['prabowo', 'gibran', 'siap', 'lantaijangan', 'otak', 'atik', 'itu', 'suara', 'rakyat']","['prabowo', 'gibran', 'lantaijangan', 'otak', 'atik', 'suara', 'rakyat']",prabowo gibran lantaijangan otak atik suara rakyat,Prabowo Gibran Flooring Brain Atik The Voice of the People
@aaaaaa-fi3go,02.Mantul<br>wis wayae 2024.P.prabowo + Gibran <br>PRESIDEN,mantulwis wayae p prabowo gibran presiden,"['mantulwis', 'wayae', 'p', 'prabowo', 'gibran', 'presiden']","['mantulwis', 'wayae', 'p', 'prabowo', 'gibran', 'presiden']",mantulwis wayae p prabowo gibran presiden,Mantulwis Wayae P Prabowo Gibran President
@Qiano_Editz155,Prabowo,prabowo,['prabowo'],['prabowo'],prabowo,Prabowo
@imamkambali6196,Rakyat kecewa berat dng ulah pejabat curang sy mengikuti pemilu sejak th 1977 th ini paling terburuk,rakyat kecewa berat dengan ulah pejabat curang saya mengikuti pemilu sejak tahu tahu ini paling terburuk,"['rakyat', 'kecewa', 'berat', 'dengan', 'ulah', 'pejabat', 'curang', 'saya', 'mengikuti', 'pemilu', 'sejak', 'tahu', 'tahu', 'ini', 'paling', 'terburuk']","['rakyat', 'kecewa', 'berat', 'ulah', 'pejabat', 'curang', 'mengikuti', 'pemilu', 'terburuk']",rakyat kecewa berat ulah jabat curang ikut milu buruk,The people are disappointed
@imamkambali6196,Quik Qoun ini memecah belah Rakyat sok tau ( pinter) bro lu ngoceh opo lihaten kecurangan yg terjadi di bawah pejabat MK,quik qoun ini memecah belah rakyat sok tau pintar bro kamu mengoceh opo lihaten kecurangan yang terjadi di bawah pejabat maka,"['quik', 'qoun', 'ini', 'memecah', 'belah', 'rakyat', 'sok', 'tau', 'pintar', 'bro', 'kamu', 'mengoceh', 'opo', 'lihaten', 'kecurangan', 'yang', 'terjadi', 'di', 'bawah', 'pejabat', 'maka']","['quik', 'qoun', 'memecah', 'belah', 'rakyat', 'sok', 'tau', 'pintar', 'bro', 'mengoceh', 'opo', 'lihaten', 'kecurangan', 'pejabat']",quik qoun pecah belah rakyat sok tau pintar bro oceh opo lihaten curang jabat,quik qoun broken people pretend to know the smart bro oceh opo lihaten cheating officials
@imamkambali6196,Yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,"['yang', 'curang', 'semoga', 'segera', 'dilaknat', 'pejabat', 'yang', 'mentang2', 'segera', 'bertaubat', 'karena', 'tuhan', 'tidak', 'suka', 'berhianat']","['curang', 'semoga', 'dilaknat', 'pejabat', 'mentang2', 'bertaubat', 'tuhan', 'suka', 'berhianat']",curang moga laknat jabat mentang2 taubat tuhan suka berhianat,cheating on the curse of the gods of repentance God loves to
@dwi_raharjo,"Dalam kedisiplinan mematuhi aturan kesehatan, kita menunjukkan kepedulian terhadap masyarakat.",dalam kedisiplinan mematuhi aturan kesehatan kita menunjukkan kepedulian terhadap masyarakat,"['dalam', 'kedisiplinan', 'mematuhi', 'aturan', 'kesehatan', 'kita', 'menunjukkan', 'kepedulian', 'terhadap', 'masyarakat']","['kedisiplinan', 'mematuhi', 'aturan', 'kesehatan', 'kepedulian', 'masyarakat']",disiplin patuh atur sehat peduli masyarakat,Discipline Obedient Set Healthy Caring for the Community
@yandi_prataya,Pendidikan jarak jauh menawarkan alternatif belajar yang efektif,pendidikan jarak jauh menawarkan alternatif belajar yang efektif,"['pendidikan', 'jarak', 'jauh', 'menawarkan', 'alternatif', 'belajar', 'yang', 'efektif']","['pendidikan', 'jarak', 'menawarkan', 'alternatif', 'belajar', 'efektif']",didik jarak tawar alternatif ajar efektif,Effective Didik Alternative Teaching Distance
@inez_hauraa,"Melalui vaksinasi, kita melibatkan diri dalam upaya global melawan COVID-19.",melalui vaksinasi kita melibatkan diri dalam upaya global melawan covid,"['melalui', 'vaksinasi', 'kita', 'melibatkan', 'diri', 'dalam', 'upaya', 'global', 'melawan', 'covid']","['vaksinasi', 'melibatkan', 'upaya', 'global', 'melawan', 'covid']",vaksinasi libat upaya global lawan covid,Vaccination of the global efforts of Covid's global effort
@Wahyudi-t1b,"Di desa memang begtu, ap lgi perangkat kabupaten",di desa memang begtu apa lagi perangkat kabupaten,"['di', 'desa', 'memang', 'begtu', 'apa', 'lagi', 'perangkat', 'kabupaten']","['desa', 'begtu', 'perangkat', 'kabupaten']",desa begtu perangkat kabupaten,Desa Begtu Regency apparatus
@ArniLpg-e7m,Kalau yg kalah pasti omong nya curang memang orang pilih Presiden nya yg lain Peresiden nya sombong,kalau yang kalah pasti omong ya curang memang orang pilih presiden ya yang lain peresiden ya sombong,"['kalau', 'yang', 'kalah', 'pasti', 'omong', 'ya', 'curang', 'memang', 'orang', 'pilih', 'presiden', 'ya', 'yang', 'lain', 'peresiden', 'ya', 'sombong']","['kalah', 'omong', 'curang', 'orang', 'pilih', 'presiden', 'peresiden', 'sombong']",kalah omong curang orang pilih presiden residen sombong,Losing Talking People People Choose President Resident Arrogant
@dewisamsuliah9457,Penipuan berjamaah...mumpung berkuasa,penipuan berjamaah mumpung berkuasa,"['penipuan', 'berjamaah', 'mumpung', 'berkuasa']","['penipuan', 'berjamaah', 'mumpung', 'berkuasa']",tipu jamaah mumpung kuasa,The Jamaat's deception is powered by power
