Username,Comment,Stemming,Translated,Sentiment_polarity,Sentiment
@PermataBerlian-z9w,Jgn cari alasan... kalau kalah akui saja. Buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo. Itu saja sudah terbukti masyarakat sudah tdk memilih ganjar.,cari alas kalah aku bukti kampaye puan bilang presiden ganjar tonton presiden prabowo bukti masyarakat pilih ganjar,Finding Alas Losing I Proof of Puan Kampaye said President Ganjar Watch President Prabowo Proof of the community Choose Ganjar,-0.4,negative
@PermataBerlian-z9w,Karena ganjar terlalu angkuh dan sombong. Masyarakat bisa menilai sendiri tdk ada hubungannya dgn jokowi,ganjar angkuh sombong masyarakat nilai hubung jokowi,Ganjar arrogant arrogant community value jokowi connecting,0.0,neutral
@kaila7347,jujur ajj kalian klu Anies yg menang ko bisa2 nya salah infut,jujur anies menang bisa2 salah infut,Honestly Anies wins can be wrong infuting,0.1333333333333333,positive
@Marthen-yh2su,SAYA TIDAK INGIN MEMILIH KARENA KEPALA DESA SEBAB SAYA MEMILIH PRESIDEN DENGAN HATI NURANI SEPERTI JIKA PIALA DUNIA TIM YG SAYA PILIH APAPUN YG TERJADI TETAP PILIH TIM YG SAYA ANDALKAN,pilih kepala desa pilih presiden hati nurani piala dunia tim pilih apa pilih tim andal,"Select the Village Head, choose the President's conscience, the team, the team, choose what select the reliable team",0.0,neutral
@FajrRi8ii-ou5zy,Curang,curang,cheat,0.0,neutral
@gatotriyanto4205,HASIL CEPAT YG DI BAYAR WOWO AKAN DI ADILI....RAKUYAT SELURUH INDONESIA SEDANG BERSATU ...AMIN,hasil cepat bayar wowo adil rakuyat indonesia satu amin,Quick results pay wowo fair rakuyat Indonesia one amen,0.5166666666666666,positive
@bagussuryadi8324,Kl membahas wahabi okkkk❤,bahas wahabi okkkk,Bahas Wahabi Okkkkkkkkk,0.0,neutral
@rusakajor3858,Coba dijumlah hasil %tase dari ketiga capres hasilnya jadi berapa %,coba jumlah hasil tase tiga capres hasil,Try the number of results of tase three presidential candidates,0.0,neutral
@YohanesUde,Akuilah keunggulan Prabowo Gibran,aku unggul prabowo gibran,I'm superior to Prabowo Gibran,0.7,positive
@YohanesUde,"Prabowo Gibran siap lantai,jangan otak Atik, itu suara Rakyat",prabowo gibran lantaijangan otak atik suara rakyat,Prabowo Gibran Flooring Brain Atik The Voice of the People,0.0,neutral
@aaaaaa-fi3go,02.Mantul<br>wis wayae 2024.P.prabowo + Gibran <br>PRESIDEN,mantulwis wayae p prabowo gibran presiden,Mantulwis Wayae P Prabowo Gibran President,0.0,neutral
@Qiano_Editz155,Prabowo,prabowo,Prabowo,0.0,neutral
@imamkambali6196,Rakyat kecewa berat dng ulah pejabat curang sy mengikuti pemilu sejak th 1977 th ini paling terburuk,rakyat kecewa berat ulah jabat curang ikut milu buruk,The people are disappointed,-0.75,negative
@imamkambali6196,Quik Qoun ini memecah belah Rakyat sok tau ( pinter) bro lu ngoceh opo lihaten kecurangan yg terjadi di bawah pejabat MK,quik qoun pecah belah rakyat sok tau pintar bro oceh opo lihaten curang jabat,quik qoun broken people pretend to know the smart bro oceh opo lihaten cheating officials,-0.09285714285714287,negative
@imamkambali6196,Yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,curang moga laknat jabat mentang2 taubat tuhan suka berhianat,cheating on the curse of the gods of repentance God loves to,0.0,neutral
@dwi_raharjo,"Dalam kedisiplinan mematuhi aturan kesehatan, kita menunjukkan kepedulian terhadap masyarakat.",disiplin patuh atur sehat peduli masyarakat,Discipline Obedient Set Healthy Caring for the Community,0.45,positive
@yandi_prataya,Pendidikan jarak jauh menawarkan alternatif belajar yang efektif,didik jarak tawar alternatif ajar efektif,Effective Didik Alternative Teaching Distance,0.6,positive
@inez_hauraa,"Melalui vaksinasi, kita melibatkan diri dalam upaya global melawan COVID-19.",vaksinasi libat upaya global lawan covid,Vaccination of the global efforts of Covid's global effort,0.0,neutral
@Wahyudi-t1b,"Di desa memang begtu, ap lgi perangkat kabupaten",desa begtu perangkat kabupaten,Desa Begtu Regency apparatus,0.0,neutral
@ArniLpg-e7m,Kalau yg kalah pasti omong nya curang memang orang pilih Presiden nya yg lain Peresiden nya sombong,kalah omong curang orang pilih presiden residen sombong,Losing Talking People People Choose President Resident Arrogant,0.0,neutral
@dewisamsuliah9457,Penipuan berjamaah...mumpung berkuasa,tipu jamaah mumpung kuasa,The Jamaat's deception is powered by power,0.0,neutral
@dharsonofarras5390,"Posisi Menang PasLon Capres dan Cawapres versi Quick Count  :<br>PasLon  01  :  Menang (isi nasib)<br>PasLon  02  :  Menang (merasa senang)<br>PasLon  03  :  Menang (gung malu)<br>mulai dari pemilu 2004 sampai dengan pemilu 2024 bagi PasLon yang kalah pasti selalu judul sinetron nya sama yaitu pemilu curang TSM ... lagu lama kaset kusut ,,, basi<br>hargai kerja keras petugas KPPS seluruh indonesia yang telah mengawal suara rakyat hasil demokrasi",posisi menang paslon capres cawapres versi quick count paslon menang isi nasibpaslon menang senangpaslon menang gung malumulai milu milu paslon kalah judul sinetron milu curang tsm lagu kaset kusut basihargai kerja keras tugas kpps indonesia awal suara rakyat hasil demokrasi,Position winning candidate candidate candidate vice presidential candidate version of Quick Count Paslon winning the contents of the fate of Paslon Winning happy Paslon Winning Gung Malum Milu Paslon Losing the title of the soap opera Milu Cheating Tsm Taet Cassette BaDaDa Disappointed Working Task KPPS Indonesia Early Voice of Democracy Results Democracy,0.3104166666666667,positive
@DedekDedek-nu3wv,"Kubu 01 dan 03 pasti bilang pemilu ini curang,kalau pengin bukti kubu 01 dan 03 turun kesetiap daerah biar kubu 01 dan 03 dipermalukan rakyat",kubu bilang milu curangkalau pengin bukti kubu turun tiap daerah biar kubu malu rakyat,The camp says that I want to proof of the camp to go down each region so that the camp is ashamed of the people,-0.15555555555555559,negative
@DedekDedek-nu3wv,"Paslon01 dan 03 jangan sekali2 mengancam 02 ,karna rakyat yg memilih",paslon01 ancam rakyat pilih,paslon01 threaten the people to choose,0.0,neutral
@ruspindi,Mengikuti,ikut,follow,0.0,neutral
@ghilangrisky4045,Qufjfiw original 😅rifi iris halus di Boru idjgi i❤,qufjfiw original rifi iris halus boru idjgi i,QUFJFIWOGINAL RIFI IRIS HALUS Boru Idjgi I,0.0,neutral
@savidanfathan8992,Inilah suara rakyat.yang bilang curang.suruh turun ke desa desa dan tanya langsung ke rakyat. Siapa yang rakyat pilih pilpres tahun ini..jangan otak kotor,suara rakyat bilang curang suruh turun desa desa langsung rakyat rakyat pilih pilpres otak kotor,"The voice of the people says cheating to go down to the village of the village directly, the people choose the dirty brain presidential election",-0.21851851851851853,negative
@IlyassamsulSamsul,"Yang kalah masti bingong? Maklum yg namanya orang kalah  bingong dan strees <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1161"">19:21</a> y😮g nac",kalah masti bingong maklum nama orang kalah bingong strees si si nac,I'm very clutching the name of the name of the cliff of the stroke.,0.2,positive
@Ndell01,"Heran kepingin amat jadi presiden,dah kalah2 aja mendingan ucapin sama yg menang",heran pengin presidendah kalah2 mending menang,surprised to want presidentndeum losing2 mending winning,0.3,positive
@MuhamadGm,An anjjs  a  anjs peresjkden kndo  n tangkal perabowo gjnran jokowj,an anjjs a anjs peresjkden kndo n tangkal perabowo gjnran jokowj,an absent cleaning Kendend kendobang Kandal.,0.0,neutral
@MuhamadGm,Añjķis ankjs lletesiden jndo,ajis ankjs lletesiden jndo,Ajis ankjs lletsiden jndo,0.0,neutral
@MuhamadGm,😮ajakan  anjs pereskdanjan  anjjs perskkden  aanjj,aja anjs pereskdanjan anjjs perskkden aanjj,AJA ANJS PERESKDANJAN ANJJS PERSKKKDEN AANJJ,0.0,neutral
@MuhamadGm,Tangkap jokkwj gkbran perabowo tNgkap  gannat menag dj sjl tra  anis petesjden jnsk,tangkap jokkwj gkbran perabowo tngkap gannat menag dj sjl tra anis petesjden jnsk,catch jokkwj gkbran perabowo tngkap gannat minister dj sjl tra anis petesjden jnsk,0.0,neutral
@cosmasmidi2079,saya heran ya sakwan2 kita yang mebgikutti kompentisi pilpris ini ketika kalah tidakmerasa puas iniyang saya herankan seharus kita harus lapangdada cubalah kitaberpikir yanglebih baiklagi yang kalah bearti tidak di ingankan masyarakat yang menang maka Itulah pulihan masyarakat kita ya maaf kawan kalausaya salah,heran sakwan2 mebgikutti kompentisi pilpris kalah tidakmerasa puas iniyang heran harus lapangdada cubalah kitaberpikir yanglebih baiklagi kalah bearti ingankan masyarakat menang pulih masyarakat maaf kawan kalausaya salah,"surprised Sakwan2 Following the Competence of Pilpris Losing Not Feeling Satisfied What is surprised to have to be a lap in the book Thinking which is better if you lose the community to win the community recovering the community sorry, friends",0.21428571428571427,positive
@RoySitumorang-su4tm,Untut lembaga surpemu,untut lembaga surpemu,Untut the Board of Surpacu,0.0,neutral
@Csmframe,Curang ny dimana saya rakyat jawa antusias pilih 100% bpk prabowo gibran. Mau apa kalian apakalian tidak terima kekalahan. Kubu 01 dan kubu 03 jika ada pemilihan lagi pasti lebih tinggi dari angka yg di dapat 02  karna rakyat sudah pintar untk. memilih ingat itu.!!!,curang nya mana rakyat jawa antusias pilih bpk prabowo gibran apakalian terima kalah kubu kubu pilih angka rakyat pintar pilih,"the cheating is where the people of Javanese are enthusiastic about choosing Mr. Prabowo Gibran, if you receive losing the stronghold, choose the numbers of the smart people, choose",0.40714285714285714,positive
@ZhipoerMbf,Klu ada kecurangan kenapa harus nunggu selesai tinggal tidak terima hasil pemilu biar di afakan pemilu ulang beres biar gak lama lama,curang tunggu selesai tinggal terima hasil milu biar afakan milu ulang beres biar,Cheating Wait Complete Just Receive the results,0.1,positive
@supriyantobinramelan4109,"Siapapun presidennya bisa buat makmur negri ini. Terutama  BBM murah  Sembako murah ,,,terus jgn menangani covid seperti yg sudah  membuat rakyat hancur sampai sekarang ,,,",presiden makmur negeri bbm murah sembako murah tangan covid rakyat hancur,President of Makmur Negeri Negeri BBM Cheap Cheap Groceries Hand Covid Rakyat Destroyed,0.4,positive
@iosghiims5861,"mafhum kita ketahui, seseorang selalu akan berbicara sesuai kepentingannya,itu normal.pemilihan kata dan intonasi digunakan untuk mempengaruhi pikiran orang meskipun orang yg JD target kebanyakan juga SDH paham tujuann si pembicara,,,itu normal kita ketahui bersama.,JD seru aja jika melihat ekspresi seseorang berbicara membuat alasan dgn intonasinya.😁",mafhum tahu bicara sesuai kepentingannyaitu normal pilih intonasi pengaruh pikir orang orang target banyak paham tujuann sih pembicaraitu normal tahu seru ekspresi bicara alas intonasi,"Mafhum knows talking according to its interests, choose the intonation of the influence of the thought of the target of the target, a lot of understanding the purpose is normal, knowing the excrement",0.15,positive
@AliMasud-ng3tv,Klo gk siap kalah jangan nyapres laaah (01),kalah nyapres laaah,Lose Nyapres laaah,0.0,neutral
@Jufridjafar-c3s,Orang yg tidak mau menerima kekalahan maka orang trsbt todak cocok d jadikan pemimpin baik pemimpin negara juga Agama titik,orang terima kalah orang trsbt todak cocok jadi pimpin pimpin negara agama titik,people accept losing people to be suitable to be the leader of the religious state point,0.275,positive
@fithriya_tsabita1,Kondisi saat ini dalam perekonomian Indonesia memberikan sinyal positif pada inflasi (5)😢,kondisi ekonomi indonesia sinyal positif inflasi,Indonesian economic conditions positive signal inflation,0.21363636363636362,positive
@PujiPku-wo2eo,Periksa ketua kpu yg mempermsin kn suara rakyat,periksa ketua kpu mempermsin suara rakyat,Check the KPU Chairperson to make the votes of the people,0.0,neutral
@ahongkoza3356,Saya rakyat Indonesia dari Indramayu dengan hati yang ikhlas memilih no 2,rakyat indonesia indramayu hati ikhlas pilih no,The people of Indonesia Indramayu Hati sincerely choose NO,0.5,positive
@hermawan776,Lanjut kan program ikn demi kemajuan indonesia di mata dunia,program ikn maju indonesia mata dunia,IKN Advanced Indonesia Mata World Program,0.4,positive
@AbertNego-l1p,Ah ! Kalaopun g pemilu Bansos itu memang ada kan ?.,ah kalaopun milu bansos,ad during the milestone,0.0,neutral
@nursyam3196,Emang klau kita berkompetisi harus ad yg menang ad g kalah tp yg kalah selalu g terima itulah manusia tdk ad kepuasan,kompetisi menang kalah kalah terima manusia puas,Winning Competition Lose Lose Receive Human Satisfied,0.3333333333333333,positive
@TiaTiara-o4w,Sekarang rakyat indonesia sudah cerdas kebanyakan memilih peresiden bpk prabowo termasuk saya yg memilih 02 astung kare orang bali bilang atau bersukur  pak prabowo menag mutlak salam sehat sy orang bali yg merantau kelampung,rakyat indonesia cerdas banyak pilih residen bpk prabowo pilih astung kare orang bal bilang bersukur prabowo menag mutlak salam sehat orang bal rantau lampung,Indonesian people are smart to choose many resident BPK Prabowo Choose Astung Kare people say Prabowo is grateful for the absolute Salam Healthy Salam Bal Rantau Lampung,0.3535714285714286,positive
@awiaulia8722,Pospol nmr 2 yg unggul ya nmx ju perlombaan pasti ada yg kalah dan ada menang.,pospol nomor unggul nmx ju lomba kalah menang,POSPOL NUMP NUMBER NMX JU LOSE WINS COMPETITION,0.3,positive
@bambangsuswanto,"Bedah partai, bedah presiden,jangan dipaksakan.",bedah partai bedah presidenjangan paksa,Surgery of Forced Subsidiary Surgery,-0.30000000000000004,negative
@bambangsuswanto,"Sulawesi,prabowo,gibran.menang .",sulawesiprabowogibran menang,Sulawesiprabowogibran wins,0.3,positive
@bambangsuswanto,"Tapi ini bedah jauh bos,terimah saja.",bedah bosterimah,Bostemah surgery,0.0,neutral
@bambangsuswanto,"Bedah,jauh bos,terimah kekalahannya.",bedahjauh bosterimah kalah,Bosterimah surgery loses,-0.3,negative
@LastryFal,Alhamdullilah prabowo jadi prediden,alhamdullilah prabowo prediden,Alhamdullilah Prabowo Prediden,0.0,neutral
@bambangsuswanto,Sudah mubasir bos,mubasir bos,Boss's waste,-0.2,negative
@EmiEmi-tp2eg,sblm rakyat brtndk harus ada putaran kedua,rakyat brtndk putar,People brtndk rotate,0.0,neutral
@EmiEmi-tp2eg,pemilu terburuk yg pernah ada,milu buruk,Bad milu,-0.6999999999999998,negative
@AZISNaba.,AZIS  NAba,azis naba,Azis Naba,0.0,neutral
@FerdiandisemaSema,"Semoga pilihan calon presiden ,berjalan lancar dan juga aman terkendali n kondusif.fas@",moga pilih calon presiden jalan lancar aman kendali n kondusif fas,"hopefully choose the presidential candidate for a smooth road, safe control n conducive fas",0.45,positive
@Taaaa-ojousama,Kalau kalah ya yang jelek2keluar.....padahal yang jelek 2 ni semua udah tau tapi apa yang udah di berikan buat negara ...ngomong pinter .!kalau dah dikasih jabatan ya begitu itulah ...,kalah jelek2keluar jelek nih tau negara omong pintar kasih jabat,"less ugly2 ugly, you know the state saying good",-0.055555555555555546,negative
@rosyidady5102,Ngikut aja lah..,ngikut,join,0.0,neutral
@RasimHj.mintra,Itu si Surya orang gila&#39; nganggap reme sama orang lain blm tentu dia mampuh..,sih surya orang gila nganggap reme orang mampuh,SURYA CRAZY PEOPLE CONSTRUCTIONS,-0.6,negative
@Soang12,Udh Kalah Kalah aja 01 03 trima kenyataan GA usah CA ci cu,kalah kalah terima nyata ca ci cu,Lose Lose Receive Real Ca Ci Cu,0.2,positive
@zullpikar-mt9yt,Julie. Yes. Hang. Curing. At. Tina&#39;s. Kds,julie yes hang curing at tas kds,julie yes hang curing at tas kds,0.0,neutral
@zullpikar-mt9yt,57.76p,76p,76p,0.0,neutral
@zullpikar-mt9yt,Hangar. Curing. P. Hiring. Sure AZ,hangar curing p hiring sure az,hangar curing p hiring sure az,0.5,positive
@BudiSantoso-ow4vx,Anakan banteng itu tahu apa  sih.. ayo sini datang kesini debat sama aku ajalh .<br>Aku tau betul proses di tps..kamu nol besar ..mulutmu aja kang  kanggg,ana banteng sih ayo kesini debat ajalh tau proses tps nol mulut kang kanggg,"Ana bull, let's come here, the debate will know the process of zero polling stations",0.0,neutral
@andrayyradhika448,Rakyat udah jenuh melihat radikalisme kita orang timur punya adab sopan santunyg bikin gaduh di negri ini hanyalah orang keturunan yg slalu bawa2 keturunan nabi nabi sopan dan sabar yidak rafikal kanya yg ngaku2 cucu2nya,rakyat jenuh radikalisme orang timur adab sopan santunyg bikin gaduh negeri orang turun turun nabi nabi sopan sabar yidak rafikal kanya ngaku2 cucu2nya,the people are bored of the radicalism of the east man's polite man to make a rowdy country of people down the prophet polite,-0.3277777777777778,negative
@andrayyradhika448,Disinilah 01 td demokrasi kekeh mau duaputaran apakah beliau punya uang untuk membiayainya walau 100 putaran orang radikal td akan menang yg jelas pemborosan anggaran apakah td sebaiknya uangny,demokrasi kekeh duaputaran beliau uang biaya putar orang radikal menang boros anggar uangny,Democracy kekeh duaturaran he is the cost of a play on the radical people to win wasteful of his money,0.8,positive
@Ki-hitam-ki-gede-alang-alang,Hiduuuuup prabowo ❤,hiduuuuup prabowo,Hiduuuuuup Prabowo,0.0,neutral
@Ki-hitam-ki-gede-alang-alang,Hiduuup prabowo.,hiduuup prabowo,Hiduuup Prabowo,0.0,neutral
@andangSuryadi-zk4fe,"Saya hanya aneh dan ga masuk akal ...padahal 1dan 2 ...di debat capres ,ga ada gagasan ..KLO di bandingkan cafres no3",aneh masuk akal 1dan debat capres gagas banding cafres no3,strange makes sense 1 and debate of Candidate Candidates for Appeal Crafress NO3,-0.05,negative
@romiwijaya1938,"Apa lagi yang dikawal dan dijaga klo kalah ya kalah saja, justru pasukan nomor 02 yang harus menjaga kecurangan jangan sampai 01 dan 03 berbuat curang",kawal jaga kalah kalah pasu nomor jaga curang buat curang,Kawal guard loses to lose the number of cheating numbers to cheat,-0.3,negative
@romiwijaya1938,Walaupun suara 01 digabung dengan 03 tidak akan bisa mengejar suara 02.cukup 1putaran pemimpin sabar menangbtelak,suara gabung kejar suara 1putaran pimpin sabar menangbtelak,Votes Join the Chase Votes 1PUTARAN PATIAT WATER WINS,0.3,positive
@romiwijaya1938,Pemimpin yang sabar dihujat danbdiremehkan didebat presiden didoakan oleh selurh masarakat indonesia untuk menjadi presiden 2024,pimpin sabar hujat danbdiremehkan debat presiden doa selurh masarakat indonesia presiden,Lead Patience in Hujat and Bdiremian the Presidential Debate of the Indonesian Prayer Prayer of the President of the President,0.0,neutral
@budiutomo-e2g,satu putaran aja cukup 02 pasti menang,putar menang,play win,0.8,positive
@edwinpurnama4740,Pada umumnya pemilih prabowo adalah pemilih/pendukung fanatik sejak pemilu 2014-2019 sekarang 2024 di tambah pendukung jokowi jelas menang telak,pilih prabowo pemilihpendukung fanatik milu dukung jokowi menang telak,Choose Prabowo Voters Support Milu Fanatical Support Jokowi Winning to Win,0.65,positive
@asepsudrajat6362,Bukti prabowo menang kelak 58%,bukti prabowo menang kelak,Proof of Prabowo Winning later,0.25,positive
@novafarne7252,"Yg menang merayakan, yg kalah menjelaskan",menang raya kalah,Win a loser,0.8,positive
@watynorhayaty2670,Ttp amin ☝️🤲🏻❤,amin,Amin,0.0,neutral
@Marthen-yh2su,"KALAU ADA SURAT SUARA YG SUDAH TERCOBLOS APAKAH ITU DIHITUNG OLEH KPPS, TENTUKAN TIDAK DIHITUNG, SEDANGKAN TERCOBLOS LEBIH DARI SATU CALEG KAN DIBATALKAN.",surat suara coblos hitung kpps tentu hitung coblos caleg batal,ballot coblos calculate kpps of course count the candidate votes canceled,0.0,neutral
@sahroni7961,Mna suara Ny 01 03  sy MH 02,suara nya mah,the voice is mah,0.0,neutral
@UjangRusbani-n7d,"Ini orang anak PKI tidak mau mengala PKI gaya baru,pikiran nya mau bikin gadu dan mau bikin ribut",orang anak pki ala pki gaya barupikiran bikin gadu bikin ribut,people pki because pky style new why gadubikin,0.13636363636363635,positive
@bapaktbhanafih2896,Konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,Konten Sampah Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa Hoa,0.0,neutral
@PinaSih-hh4lm,Maaf saya rakyat kecil nrarik Mentri jangan dari musuh  jaga nama baik  Prabowo gibran,maaf rakyat nrarik tri musuh jaga nama prabowo gibran,"Sorry, the people of the Tri Nrakik Enemy Maintain the name Prabowo Gibran",-0.5,negative
